uid,base_price,special_price,ap_start_date,ap_end_date,duration,service_name,service_caption,service_group_name,service_pricing_id,created_date,updated_date,appointment_id,final_price,deleted,booking_id,extra_time
104,115,115,2025-07-17 10:00:00,2025-07-17 12:00:00,120,Ombre/Balayage,Long price,"",659,2025-07-09 13:47:35.847787,2025-07-09 13:47:35.847787,353339,115,f,145730,
54,10,10,2025-07-16 10:20:00,2025-07-16 10:25:00,5,Under Arms,Hot Wax,"",423,2025-07-09 14:10:09.726682,2025-07-09 14:10:09.726682,353347,10,f,145983,
54,18,18,2025-07-16 10:25:00,2025-07-16 10:40:00,15,Half Legs,Strip Wax,"",456,2025-07-09 14:10:09.726682,2025-07-09 14:10:09.726682,353348,18,f,145983,
54,40,35,2025-07-16 09:30:00,2025-07-16 10:20:00,50,Pedicure With Shellac Polish,,"",493,2025-07-09 14:10:09.726682,2025-07-09 14:10:09.726682,353349,35,f,145983,
112,80,80,2025-07-13 11:00:00,2025-07-13 12:15:00,75,Russian Volume look,,"",1646,2025-07-09 15:05:41.206304,2025-07-09 15:05:41.206304,353367,80,f,145992,
44,100,80,2025-07-29 15:00:00,2025-07-29 17:00:00,120,Brazilian Blow dry,Long price,"",538,2025-07-09 16:42:38.660504,2025-07-09 16:42:38.660504,353389,80,f,146001,
117,40,40,2025-07-14 16:45:00,2025-07-14 17:30:00,45,"Wash, Cut & Finish",Medium,"",1167,2025-07-09 16:48:29.253199,2025-07-09 16:48:29.253199,353390,40,f,146002,
44,35,35,2025-07-11 12:30:00,2025-07-11 12:55:00,25,Amonia Free Root Color From,Short price,"",558,2025-07-09 16:52:15.686896,2025-07-09 16:52:15.686896,353391,35,f,146003,
119,50,45,2025-07-13 14:00:00,2025-07-13 14:55:00,55,Pedicure With Shellac Polish,,"",1290,2025-07-09 17:15:09.647138,2025-07-09 17:15:09.647138,353397,45,f,146008,
73,35,35,2025-07-11 10:30:00,2025-07-11 11:20:00,50,Wash & Blow Dry,Medium price,"",346,2025-07-09 17:18:13.590321,2025-07-09 17:18:13.590321,353399,35,f,146010,
51,30,30,2025-07-11 10:30:00,2025-07-11 11:10:00,40,Flare Lashes from,,"",458,2025-07-09 17:24:56.866392,2025-07-09 17:24:56.866392,353400,30,f,146011,
119,15,15,2025-07-12 13:00:00,2025-07-12 13:25:00,25,Shape & Polish,,"",1276,2025-07-09 17:27:56.164046,2025-07-09 17:27:56.164046,353407,15,f,146012,
122,30,25,2025-07-12 09:00:00,2025-07-12 09:40:00,40,Full Facial,,"",515,2025-07-09 16:57:52.521832,2025-07-09 16:57:52.521832,353394,25,f,146006,
117,55,55,2025-07-14 10:00:00,2025-07-14 11:00:00,60,Wash & Blowdry,Extra Long,"",1177,2025-07-10 04:46:44.838494,2025-07-10 04:46:44.838494,353422,55,f,146019,
73,40,40,2025-07-14 12:10:00,2025-07-14 13:00:00,50,Wash & Blow Dry,Long price,"",347,2025-07-09 17:34:58.661738,2025-07-09 17:34:58.661738,353415,40,f,146015,
122,20,20,2025-07-12 10:00:00,2025-07-12 10:15:00,15,"Mini Facial ( cleanser, scrub, massage)",,"",518,2025-07-09 16:56:51.51967,2025-07-09 16:56:51.51967,353393,20,f,146005,
73,10,10,2025-07-14 12:05:00,2025-07-14 12:10:00,5,Eyebrows Tidy,Threading,"",185,2025-07-09 17:34:58.661738,2025-07-09 17:34:58.661738,353414,10,f,146015,
67,35,35,2025-07-11 11:15:00,2025-07-11 12:05:00,50,Wash & Blow Dry,Medium price,"",346,2025-07-10 09:12:32.607868,2025-07-10 09:12:32.607868,353446,35,f,146028,
98,40,40,2025-07-18 18:00:00,2025-07-18 19:00:00,60,BIAB Infill,,"",1455,2025-07-10 10:36:03.204083,2025-07-10 10:36:03.204083,353486,40,f,146042,
51,40,32,2025-07-14 09:15:00,2025-07-14 10:15:00,60,"Wash, Cut and Blow dry",Long price,"",545,2025-07-10 10:04:34.285731,2025-07-10 10:04:34.285731,353471,32,f,146038,
51,35,28,2025-07-14 10:15:00,2025-07-14 11:00:00,45,"Wash, Cut and Blow dry",Medium price,"",544,2025-07-10 10:04:34.285731,2025-07-10 10:04:34.285731,353470,28,f,146038,
101,45,45,2025-07-16 18:00:00,2025-07-16 19:30:00,90,Root's Colour From,,"",734,2025-07-10 10:42:32.410291,2025-07-10 10:42:32.410291,353488,45,f,146044,
51,30,25,2025-07-12 15:30:00,2025-07-12 16:10:00,40,Manicure With Shellac Polish,,"",479,2025-07-10 10:52:11.421515,2025-07-10 10:52:11.421515,353489,25,f,146045,
51,5,5,2025-07-12 15:25:00,2025-07-12 15:30:00,5,Eyebrows,THREADING,"",771,2025-07-10 10:52:11.421515,2025-07-10 10:52:11.421515,353490,5,f,146045,
44,20,20,2025-07-12 15:00:00,2025-07-12 15:25:00,25,Your Colour Root Apply,,"",796,2025-07-10 10:52:11.421515,2025-07-10 10:52:11.421515,353491,20,f,146045,
101,50,50,2025-07-11 10:30:00,2025-07-11 11:30:00,60,Wash/Cut/Blow Dry,Long price,"",391,2025-07-10 10:54:34.409643,2025-07-10 10:54:34.409643,353493,50,f,146047,
67,33,33,2025-07-12 17:00:00,2025-07-12 17:40:00,40,Shellac polish & Removal,,"",832,2025-07-10 11:38:52.252693,2025-07-10 11:38:52.252693,353515,33,f,146051,
51,25,25,2025-07-12 17:00:00,2025-07-12 17:15:00,15,Full Face With Eyebrows,WAXING,"",790,2025-07-10 11:39:49.502215,2025-07-10 11:39:49.502215,353516,25,f,146052,
98,70,70,2025-07-14 10:30:00,2025-07-14 12:10:00,100,Luxury Manicure & Pedicure,,"",802,2025-07-10 11:40:07.057457,2025-07-10 11:40:07.057457,353517,70,f,146016,
117,40,40,2025-07-12 11:30:00,2025-07-12 12:10:00,40,Toner,Long,"",1221,2025-07-10 11:48:09.206429,2025-07-10 11:48:09.206429,353521,40,f,145571,
113,55,55,2025-07-11 16:15:00,2025-07-11 17:15:00,60,Wash/Cut/Blowdry,Long,"",1172,2025-07-10 11:50:43.930059,2025-07-10 11:50:43.930059,353526,55,f,146055,
119,40,35,2025-07-11 12:30:00,2025-07-11 12:55:00,25,Hollywood,,"",1275,2025-07-10 12:40:52.252142,2025-07-10 12:40:52.252142,353547,35,f,143226,
44,35,28,2025-07-11 15:45:00,2025-07-11 16:25:00,40,Wash & cut,Long price,"",592,2025-07-10 12:42:12.347923,2025-07-10 12:42:12.347923,353548,28,f,146061,
131,39,39,2025-07-11 12:30:00,2025-07-11 13:15:00,45,"Luxury Pedicure (shape, Cuticle,Dead Skin Removal , Scrub, massage & polish)",,"",261,2025-07-10 11:26:05.505439,2025-07-10 11:26:05.505439,353508,39,f,146050,
119,40,35,2025-07-11 12:30:00,2025-07-11 12:55:00,25,Hollywood,,"",1275,2025-07-10 12:57:32.563395,2025-07-10 12:57:32.563395,353561,35,f,146064,
73,45,45,2025-07-14 13:00:00,2025-07-14 14:30:00,90,Root's Colour From,,"",734,2025-07-10 13:26:41.497243,2025-07-10 13:26:41.497243,353567,45,f,146068,
113,45,45,2025-07-12 13:00:00,2025-07-12 14:00:00,60,Wash/Cut/Blowdry,Medium,"",1171,2025-07-10 13:27:57.983706,2025-07-10 13:27:57.983706,353568,45,f,146069,
113,70,70,2025-07-12 11:30:00,2025-07-12 13:00:00,90,Full Head Colour,Medium,"",1185,2025-07-10 13:27:57.983706,2025-07-10 13:27:57.983706,353569,70,f,146069,
51,5,5,2025-07-12 10:20:00,2025-07-12 10:25:00,5,Eyebrows,THREADING,"",771,2025-07-10 14:21:07.899013,2025-07-10 14:21:07.899013,353613,5,f,146074,
117,40,40,2025-07-11 18:15:00,2025-07-11 19:00:00,45,"Wash, Cut & Finish",Medium,"",1167,2025-07-10 15:39:56.086682,2025-07-10 15:39:56.086682,353669,40,f,146084,
54,80,70,2025-07-25 17:00:00,2025-07-25 19:00:00,120,Hybrid lashes,,"",1076,2025-07-10 15:56:44.535057,2025-07-10 15:56:44.535057,353677,70,f,146086,
111,10,10,2025-07-11 16:15:00,2025-07-11 16:35:00,20,Shellac Removal,,"",1282,2025-07-10 15:53:07.484106,2025-07-10 15:53:07.484106,353675,10,f,146013,
111,10,10,2025-07-11 16:35:00,2025-07-11 16:40:00,5,Eyebrows,Threading,"",1126,2025-07-10 15:53:07.484106,2025-07-10 15:53:07.484106,353676,10,f,146013,
54,30,30,2025-07-12 12:00:00,2025-07-12 12:40:00,40,russian eyelashes (2 week top up),,"",1047,2025-07-10 14:39:42.297271,2025-07-10 14:39:42.297271,353644,30,f,146077,
54,25,20,2025-07-15 14:30:00,2025-07-15 14:50:00,20,Dry Cut,Medium price,"",1373,2025-07-10 16:23:17.820135,2025-07-10 16:23:17.820135,353695,20,f,146091,
113,45,45,2025-07-20 10:00:00,2025-07-20 11:00:00,60,Wash/Cut/Blowdry,Medium,"",1171,2025-07-10 16:49:45.170437,2025-07-10 16:49:45.170437,353720,45,f,145996,
113,100,100,2025-07-20 11:00:00,2025-07-20 14:00:00,180,Full Head Highlight (Toner Not Inc.),Medium,"",1201,2025-07-10 16:49:45.170437,2025-07-10 16:49:45.170437,353721,100,f,145996,
73,17,17,2025-07-11 13:00:00,2025-07-11 13:30:00,30,Children GIRL (Up to 7 yer) Dry Cut,,"",681,2025-07-10 17:30:50.884286,2025-07-10 17:30:50.884286,353740,17,f,146101,
101,40,40,2025-07-11 14:00:00,2025-07-11 14:50:00,50,Wash & Blow Dry,Long price,"",347,2025-07-11 08:47:27.011178,2025-07-11 08:47:27.011178,353807,40,f,146129,
36,26,26,2025-07-11 10:25:00,2025-07-11 10:35:00,10,High Bikini,Hot Wax,"",197,2025-07-11 07:15:05.156295,2025-07-11 07:15:05.156295,353787,26,f,146117,
119,10,10,2025-07-11 13:30:00,2025-07-11 13:35:00,5,Eyebrows,Threading,"",1126,2025-07-10 18:14:25.534723,2025-07-10 18:14:25.534723,353776,10,f,146110,
119,10,7,2025-07-11 13:35:00,2025-07-11 13:40:00,5,Ears Wax,,"",1379,2025-07-10 18:14:25.534723,2025-07-10 18:14:25.534723,353777,7,f,146110,
119,10,7,2025-07-11 13:40:00,2025-07-11 13:45:00,5,Nose Inside,,"",1442,2025-07-10 18:14:25.534723,2025-07-10 18:14:25.534723,353778,7,f,146110,
113,70,70,2025-07-12 14:00:00,2025-07-12 15:00:00,60,Hair Up,From,"",1228,2025-07-10 19:18:27.526868,2025-07-10 19:18:27.526868,353779,70,f,146111,
54,20,20,2025-07-15 13:00:00,2025-07-15 13:25:00,25,Your Colour Root Apply,,"",796,2025-07-10 20:14:42.104445,2025-07-10 20:14:42.104445,353780,20,f,146112,
132,40,40,2025-07-13 10:00:00,2025-07-13 11:00:00,60,BIAB Infill,,"",1455,2025-07-10 20:30:47.679952,2025-07-10 20:30:47.679952,353781,40,f,146113,
73,40,40,2025-07-12 14:00:00,2025-07-12 14:40:00,40,Wash & Cut,Medium price,"",361,2025-07-11 07:21:35.395203,2025-07-11 07:21:35.395203,353789,40,f,146118,
44,30,24,2025-07-11 09:00:00,2025-07-11 09:50:00,50,Wash and Blow Dry,Long price,"",610,2025-07-11 08:02:50.933901,2025-07-11 08:02:50.933901,353790,24,f,146119,
51,15,15,2025-07-11 12:00:00,2025-07-11 12:20:00,20,Saree Draping,,"",1065,2025-07-11 08:10:04.683798,2025-07-11 08:10:04.683798,353796,15,f,146123,
44,28,23,2025-07-11 09:00:00,2025-07-11 09:25:00,25,Dry Cut,Long price,"",1374,2025-07-11 08:28:50.939201,2025-07-11 08:28:50.939201,353798,23,f,145915,
